Lag (seconds)	Frequency (Hz)	Level
0.009932	100.684932	0.826547
0.009955	100.455581	0.776278
0.009977	100.227273	0.674088
0.010000	100.000000	0.530004
0.010023	99.773756	0.349122
0.010045	99.548533	0.147835
0.010068	99.324324	-0.064608
0.010091	99.101124	-0.271428
0.010113	98.878924	-0.463665
0.010136	98.657718	-0.625604
0.010159	98.437500	-0.746890
0.010181	98.218263	-0.817889
0.010204	98.000000	-0.835371
0.010227	97.782705	-0.795846
0.010249	97.566372	-0.705652
0.010272	97.350993	-0.567292
0.010295	97.136564	-0.393858
0.010317	96.923077	-0.195763
0.010340	96.710526	0.011199
0.010363	96.498906	0.214474
0.010385	96.288210	0.397806
0.010408	96.078431	0.552464
0.010431	95.869565	0.664692
0.010454	95.661605	0.731116
0.010476	95.454545	0.743653
0.010499	95.248380	0.706945
0.010522	95.043103	0.620807
0.010544	94.838710	0.495963
0.010567	94.635193	0.340748
0.010590	94.432548	0.165518
0.010612	94.230769	-0.019872
0.010635	94.029851	-0.199553
0.010658	93.829787	-0.364293
0.010680	93.630573	-0.500631
0.010703	93.432203	-0.601744
0.010726	93.234672	-0.659142
0.010748	93.037975	-0.671896
0.010771	92.842105	-0.637482
0.010794	92.647059	-0.560891
0.010816	92.452830	-0.446316
0.010839	92.259414	-0.306722
0.010862	92.066806	-0.150058
0.010884	91.875000	0.011320
0.010907	91.683992	0.170718
0.010930	91.493776	0.313495
0.010952	91.304348	0.434856
0.010975	91.115702	0.522490
0.010998	90.927835	0.576198
0.011020	90.740741	0.592081
0.011043	90.554415	0.573397
0.011066	90.368852	0.518278
0.011088	90.184049	0.434295
0.011111	90.000000	0.324160
0.011134	89.816701	0.197232
0.011156	89.634146	0.059536
0.011179	89.452333	-0.079129
0.011202	89.271255	-0.212215
0.011224	89.090909	-0.330696
0.011247	88.911290	-0.429516
0.011270	88.732394	-0.502047
0.011293	88.554217	-0.545830
0.011315	88.376754	-0.557139
0.011338	88.200000	-0.537103
0.011361	88.023952	-0.485221
0.011383	87.848606	-0.407319
0.011406	87.673956	-0.305336
0.011429	87.500000	-0.187691
0.011451	87.326733	-0.058205
0.011474	87.154150	0.071827
0.011497	86.982249	0.199215
0.011519	86.811024	0.314233
0.011542	86.640472	0.412907
0.011565	86.470588	0.487684
0.011587	86.301370	0.535420
